PHASE 0 - ACCESS & LOCK,,,,,,,,,,,,
Phase,Section,Task,Details / Acceptance Criteria,Owner,Blocker,Priority,Due Date,Status,Document Link,Client Note,Dee's Note,Team's Remarks
Phase 1,Website Build,Build corporate website pages,"Home, How It Works, Services, About, FAQ, Schedule Consultation, Contact, disclosures, cancellation, privacy, terms, funding/no-guarantee pages as applicable.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Website Build,Configure page technical requirements,"Meta title, meta description, OG image, basic schema if applicable, pixels/GA4 if included, mobile optimization, footer disclosures.",Tech Team,Conditional,High,4,,,,,
Phase 1,Funnel Build,Build lead capture funnel,"Landing page, form, thank-you page, calendar or next step, tracking, hidden fields, pipeline trigger.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Funnel Build,Build credit consultation funnel if applicable,"Credit consultation page, booking/lead form, disclaimer placement, thank-you/confirmation page.",Tech Team,Conditional,High,4,,,,,
Phase 1,Funnel Build,Build funding/commercial funding funnel if applicable,"Funding page, intake/application form, no-guarantee language, document/booking CTA, thank-you page.",Tech Team,Conditional,High,4,,,,,
Phase 1,Funnel Build,Build clarity/business setup/education funnel if applicable,"Clarity call, business setup, acquisition, tax, real estate/broker, mentorship or related offer entry point.",Tech Team,Conditional,Medium,4,,,,,
Phase 1,Forms & Intake,Build universal consultation form,"Hidden UTM fields, SMS/email consent, consent version, service type, lead source, owner assignment, opportunity creation.",Tech Team,No,Critical,4,,,,,
Phase 1,Forms & Intake,Build service-specific intake forms,"Credit repair, funding, commercial funding, business acquisition, setup assistance, real estate/broker, tax, clarity call as applicable.",Tech Team,Conditional,High,4,,,,,
Phase 1,Forms & Intake,Build operations forms,"Onboarding packet, secure document upload, cancellation request, client update submission, complaint/escalation form.",Tech Team,Conditional,High,4,,,,,
Phase 1,Calendar Setup,Create calendars,"Consultation, credit consultation, funding consultation, business setup, clarity call, onboarding, support as applicable.",Tech Team,Conditional,High,4,,,,,
Phase 1,Calendar Setup,Configure calendar sync and conflict prevention,"Google/Outlook sync, availability, buffers, minimum notice, round robin, confirmation page, reminders connection.",Tech Team,Conditional,High,4,,,,,
Phase 1,Pipelines,Create Credit Repair Sales Intake pipeline,"Stages: New Lead, Contact Attempted, Consultation Scheduled, Consultation Completed, Qualified/Agreement Sent, Agreement Signed, Cooling-Off, Ready for Invoice, Agreement Expired, Not Qualified, Cancelled, Compliance Hold.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Pipelines,Create Credit Repair Active Lifecycle pipeline,"Stages: Onboarding Pending, Onboarding Complete, Round 1-6 Sent, Monitoring, Completed, Cancelled, Archived, Compliance Hold.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Pipelines,Create Business Funding pipeline,"Stages: New Lead, Docs Requested, Docs Received, Submitted to Lender, Terms Received, Funded, Not Qualified, Nurture.",Tech Team,Conditional,Critical,4,,,,,
Phase 1,Pipelines,Create Clarity/Education pipeline,"Stages: Booked, Attended, Follow-Up, Converted, Nurture.",Tech Team,Conditional,Medium,4,,,,,
Phase 1,Pipelines,Create Support/Risk pipeline,"Stages: New Support Request, Billing Issue, Technical Issue, Document Issue, Complaint, Refund Request, Attorney Mention, Compliance Review, Resolved, Closed.",Tech Team,No,High,4,,,,,
Phase 1,Lead Automation,Build basic lead capture routing,"Form submission creates/updates contact, applies tags/fields, creates opportunity, assigns owner, sends internal alert, triggers confirmation email/SMS if compliant.",Automation Team,No,Critical,4,,,,,
